Freq.	V(n004)
1.00000000000000e-001	(-2.55088189529047e+002dB,1.79999961888065e+002°)
1.00230523807790e-001	(-2.55048189529047e+002dB,1.79999961800208e+002°)
1.00461579027840e-001	(-2.55008189529046e+002dB,1.79999961712149e+002°)
1.00693166885180e-001	(-2.54968189529046e+002dB,1.79999961623886e+002°)
1.00925288607668e-001	(-2.54928189529046e+002dB,1.79999961535420e+002°)
1.01157945425990e-001	(-2.54888189529046e+002dB,1.79999961446750e+002°)
1.01391138573668e-001	(-2.54848189529045e+002dB,1.79999961357875e+002°)
1.01624869287070e-001	(-2.54808189529045e+002dB,1.79999961268796e+002°)
1.01859138805412e-001	(-2.54768189529045e+002dB,1.79999961179512e+002°)
1.02093948370768e-001	(-2.54728189529045e+002dB,1.79999961090021e+002°)
1.02329299228075e-001	(-2.54688189529044e+002dB,1.79999961000324e+002°)
1.02565192625141e-001	(-2.54648189529044e+002dB,1.79999960910421e+002°)
1.02801629812647e-001	(-2.54608189529044e+002dB,1.79999960820310e+002°)
1.03038612044162e-001	(-2.54568189529043e+002dB,1.79999960729991e+002°)
1.03276140576140e-001	(-2.54528189529043e+002dB,1.79999960639465e+002°)
1.03514216667934e-001	(-2.54488189529043e+002dB,1.79999960548729e+002°)
1.03752841581801e-001	(-2.54448189529043e+002dB,1.79999960457785e+002°)
1.03992016582906e-001	(-2.54408189529042e+002dB,1.79999960366631e+002°)
1.04231742939330e-001	(-2.54368189529042e+002dB,1.79999960275266e+002°)
1.04472021922080e-001	(-2.54328189529042e+002dB,1.79999960183691e+002°)
1.04712854805090e-001	(-2.54288189529041e+002dB,1.79999960091905e+002°)
1.04954242865232e-001	(-2.54248189529041e+002dB,1.79999959999907e+002°)
1.05196187382322e-001	(-2.54208189529041e+002dB,1.79999959907698e+002°)
1.05438689639126e-001	(-2.54168189529041e+002dB,1.79999959815275e+002°)
1.05681750921366e-001	(-2.54128189529040e+002dB,1.79999959722640e+002°)
1.05925372517729e-001	(-2.54088189529040e+002dB,1.79999959629791e+002°)
1.06169555719872e-001	(-2.54048189529040e+002dB,1.79999959536728e+002°)
1.06414301822431e-001	(-2.54008189529039e+002dB,1.79999959443451e+002°)
1.06659612123026e-001	(-2.53968189529039e+002dB,1.79999959349958e+002°)
1.06905487922266e-001	(-2.53928189529039e+002dB,1.79999959256250e+002°)
1.07151930523760e-001	(-2.53888189529039e+002dB,1.79999959162326e+002°)
1.07398941234124e-001	(-2.53848189529038e+002dB,1.79999959068186e+002°)
1.07646521362983e-001	(-2.53808189529038e+002dB,1.79999958973828e+002°)
1.07894672222983e-001	(-2.53768189529038e+002dB,1.79999958879253e+002°)
1.08143395129794e-001	(-2.53728189529037e+002dB,1.79999958784460e+002°)
1.08392691402120e-001	(-2.53688189529037e+002dB,1.79999958689448e+002°)
1.08642562361706e-001	(-2.53648189529037e+002dB,1.79999958594218e+002°)
1.08893009333343e-001	(-2.53608189529036e+002dB,1.79999958498767e+002°)
1.09144033644875e-001	(-2.53568189529036e+002dB,1.79999958403097e+002°)
